model,split,metric,mean,ci_lo,ci_hi,n,vs_benchmark_mean_diff,vs_benchmark_ci_lo,vs_benchmark_ci_hi,vs_benchmark_n_paired,vs_benchmark_p_two_sided
xgb_delta,val_chem_only,residual_pcc_vs_mu_drug,0.43347266998317757,0.4261432656470934,0.44096501671027094,1065,-0.05424134720875964,-0.059587693473038425,-0.04941655760987387,1065.0,0.001
xgb_delta,val_chem_only,residual_pcc_vs_batch_aware_mu_ctx,0.17163349580072856,0.15972137508066248,0.18257046654294867,1065,0.17126691168149596,0.15915205311889008,0.18221178690658332,1065.0,0.001
xgb_delta,val_chem_only,abundance_pcc,0.9900124070298095,0.9896875067530312,0.9903071587673189,1065,-0.003266099824601671,-0.0033995834248438063,-0.0031372942626430966,1065.0,0.001
xgb_delta,val_strain_only,fold_change_pcc,0.275367160742956,0.2640563308155351,0.28692952721011045,1333,-0.002301384456409711,-0.013707572917872285,0.009293800647357688,1333.0,0.692
xgb_delta,val_strain_only,residual_pcc_vs_mu_ctx,0.3122193225730975,0.3038391621141791,0.32102418289666257,1333,0.01744100897840248,0.007483187875786961,0.027227082988138186,1333.0,0.001
xgb_delta,val_strain_only,residual_pcc_vs_mu_drug,0.24844814227518175,0.2374372140914717,0.25870404041976947,1333,-0.051951275936129436,-0.06182066965859319,-0.04236103580925442,1333.0,0.001
xgb_delta,val_strain_only,residual_pcc_vs_batch_aware_mu_ctx,0.36278048169913457,0.3555302976561102,0.37036122491508455,1333,0.05390389997905387,0.04492015251563572,0.062256044656820844,1333.0,0.001
xgb_delta,val_strain_only,abundance_pcc,0.9888293900572058,0.9883125494886313,0.9893042173443235,1333,0.007773561277333254,0.00751088967267962,0.008029614904732826,1333.0,0.001
xgb_delta,val_both,fold_change_pcc,0.17253417037331037,0.15583048179964917,0.18894400229572303,269,-0.07293815986070361,-0.08948011760401997,-0.05576721164198055,269.0,0.001
xgb_delta,val_both,residual_pcc_vs_mu_ctx,0.21892734360625424,0.20402595477557706,0.23393919322959372,269,-0.06185375764070814,-0.07852380158432942,-0.04570814723234414,269.0,0.001
xgb_delta,val_both,residual_pcc_vs_mu_drug,0.18348636140323588,0.16802198732943827,0.1968781024541395,269,-0.0837202393787916,-0.09988520350065677,-0.06887539190748494,269.0,0.001
xgb_delta,val_both,residual_pcc_vs_batch_aware_mu_ctx,0.2633626706901398,0.23876500936485218,0.28554674309854056,269,-0.031531538559011814,-0.05652068162381532,-0.008798937636765734,269.0,0.008
xgb_delta,val_both,abundance_pcc,0.9887487766245746,0.9878397727052133,0.9895613615973411,269,0.005357918011778707,0.004869491167799882,0.005875201989839143,269.0,0.001
xgb_delta,val_time,fold_change_pcc,0.5716484605756008,0.5471524399438337,0.594611077663723,139,0.09386681359167326,0.07798247915707923,0.10966760673562417,139.0,0.001
xgb_delta,val_time,residual_pcc_vs_mu_ctx,0.5135894843433507,0.4885624314937141,0.5399160435860684,139,0.19013075033197216,0.16282137597051036,0.22055158214063278,139.0,0.001
xgb_delta,val_time,residual_pcc_vs_mu_drug,0.539319225629129,0.5174841166902476,0.5594609198603004,139,0.09793218660276691,0.07265282749762686,0.12798836982305245,139.0,0.001
xgb_delta,val_time,residual_pcc_vs_batch_aware_mu_ctx,0.4278761673993898,0.3990127925423249,0.4550154491938507,139,0.42789571185722475,0.3992654593518062,0.4547710085763899,139.0,0.001
xgb_delta,val_time,abundance_pcc,0.9909859341091883,0.9898367642141276,0.992016173765746,139,0.0013122955264826873,5.534030133961127e-05,0.0029294381538438282,139.0,0.03
cat_delta,val_chem_only,fold_change_pcc,0.32007651851463687,0.31369936721354014,0.32669020649097263,1065,-0.16649643931232105,-0.17118998629658916,-0.16137656576881637,1065.0,0.001
cat_delta,val_chem_only,residual_pcc_vs_mu_ctx,0.1676724428477977,0.15898122618360866,0.17665900576425156,1065,-0.2850891708223285,-0.2921921332685352,-0.2777656874336302,1065.0,0.001
cat_delta,val_chem_only,residual_pcc_vs_mu_drug,0.22919161515701378,0.22165199661766727,0.23680234191011604,1065,-0.25852240203492344,-0.2649110995930034,-0.25215223233235134,1065.0,0.001
cat_delta,val_chem_only,residual_pcc_vs_batch_aware_mu_ctx,-0.10840624934351122,-0.11677617305384659,-0.09936402252778921,1065,-0.10877283346274386,-0.11707547582289736,-0.09983617081047556,1065.0,0.001
cat_delta,val_chem_only,abundance_pcc,0.9735737822558791,0.9731973044759422,0.9739852952434149,1065,-0.019704724598532165,-0.020025064279317325,-0.019367764460830324,1065.0,0.001
cat_delta,val_strain_only,fold_change_pcc,0.261745694350847,0.25141391219891585,0.2726279902365733,1333,-0.0159228508485187,-0.026896594216896587,-0.004891086641677391,1333.0,0.008
cat_delta,val_strain_only,residual_pcc_vs_mu_ctx,0.29857337541651535,0.2908974277715137,0.3067232603343564,1333,0.0037950618218203333,-0.0051987887822961595,0.013397609686162684,1333.0,0.44
cat_delta,val_strain_only,residual_pcc_vs_mu_drug,0.22158665306227907,0.21162894333317972,0.23119892210999932,1333,-0.07881276514903211,-0.08791762778055438,-0.0695254918613479,1333.0,0.001
