model,n_rounds,total_score,m1_abundance,m2_fold_change,m3_s1_chem,m3_s2_strain,m3_s3_both,m3_time,m4_dep
xgb_abs,100,0.36069114750090436,0.5052565069210663,0.3343150839167872,0.3741582141518931,0.27704283849189426,0.20371986742967774,0.4837979037954077,0.2288995209496501
cat_abs,100,0.31744107411588973,0.6453257343600036,0.2596160210892727,0.2477797133165752,0.20534520757647284,0.1516156423905576,0.3940174806441845,0.1113056328244823
ens_delta,100,0.38017355080726034,0.7223572533761384,0.29985089170650064,0.3474591171248713,0.24232339080111676,0.12542070723579277,0.5125038258517334,0.2177329793166703
ens_abs,100,0.3729062453493451,0.6428304577518065,0.3200112964827841,0.3456780140817916,0.26450879152294005,0.18873923333462136,0.46465675943011064,0.19260337838209451
ens_all,100,0.40481588145787056,0.7729824262690751,0.31986554178749654,0.3630932081191468,0.26119333335281375,0.17346681225957233,0.5009738196006581,0.23347341739555472
lgb_delta,200,0.39626632853854904,0.7543337023381043,0.30855503209510854,0.33397025803661107,0.2686705861754449,0.1727461832393683,0.5288341823805305,0.2530728584748978
xgb_delta,200,0.4204129590634615,0.8074806474502089,0.3316643187349617,0.3739674858993513,0.2645788566511394,0.1778811812577628,0.5295365237535117,0.2584119225803469
cat_delta,200,0.28521920873001094,0.5354620678445576,0.24916935890052672,0.21850964771233003,0.19626933678235695,0.06541000827988194,0.4587659030580981,0.13339725940262642
lgb_abs,200,0.3932351738427824,0.6687187897568401,0.32983982553963903,0.37484405725166425,0.27351104416887906,0.2006897769637229,0.5046711693196473,0.24184783816454897
xgb_abs,200,0.3664405746180461,0.504687444059986,0.34060682678647314,0.3784267968309498,0.2845027936745298,0.20470778932176192,0.5093773706526097,0.2412240601923208
cat_abs,200,0.29673125615383233,0.5897236700077508,0.24725523124774107,0.19984488742996753,0.2114586529063051,0.1315875837494192,0.4430142958915095,0.11963824582091738
ens_delta,200,0.35864689971769653,0.6485635985369291,0.29531281734886045,0.31518655114738625,0.25370587986680093,0.12111962450574923,0.5164780402699439,0.1889521246294688
ens_abs,200,0.36860944469295615,0.6313216994858608,0.3131147921026214,0.33125194191153384,0.27077515785683326,0.1791457463320051,0.4986072889561044,0.1954667010409935
ens_all,200,0.38017113912515416,0.6947822672314237,0.30945537780710214,0.33235179224489947,0.26723870629786894,0.15614045628296336,0.5165161967766854,0.20599817731115402
lgb_delta,400,0.40141340509937506,0.7500237070697215,0.31597497159364596,0.33770946737499147,0.2795771167288126,0.18221713846440107,0.5377924783869235,0.25914246247384487
xgb_delta,400,0.417605023231196,0.7835332589518074,0.33487589102521564,0.36524966644161455,0.2746932706041914,0.18808597378920444,0.5379025035776355,0.2578277481405484
cat_delta,400,0.27285158654938857,0.5095324277770805,0.2454919075188145,0.1856269404192355,0.2090793275603021,0.06390581310758903,0.41286917851890875,0.13584241874072756
lgb_abs,400,0.39550514442908674,0.6683340591109754,0.3320379547579794,0.373225774034587,0.2794415100555663,0.19811198351472914,0.5228120030290667,0.24498375544352474
xgb_abs,400,0.36555993411719784,0.5045992042045755,0.3395618765689232,0.36819036395807275,0.2887155029715825,0.20194755563419792,0.5236514209423051,0.24177003838591438
cat_abs,400,0.285432657331107,0.5483609408724667,0.25116370305193614,0.18586483170254875,0.20956625869597786,0.10625199142044559,0.4451054269146325,0.12630908794340776
