model,library,target,regime,feature,gain_share
cat_abs,cat,abs,full,has_strain_prior,0.0
cat_abs,cat,abs,full,data_source,0.0006747847552013214
cat_abs,cat,abs,full,instrument,0.00021236187006826437
cat_abs,cat,abs,full,Strains,0.002046675398777721
cat_abs,cat,abs,full,Medium,0.00024079337213596708
cat_abs,cat,abs,full,perturbation_no_concentration,0.002700104932454016
cat_abs,cat,abs,full,Yeast_cell_plate,0.0032792311120732795
cat_abs,cat,abs,full,pert_id,0.0016609566534180919
lgb_delta,lgb,delta,chem_novel,c_ctrl,0.003772345770204748
lgb_delta,lgb,delta,chem_novel,c_ctrl_centered,0.004629388262439387
lgb_delta,lgb,delta,chem_novel,d_ctx,0.03010151867493251
lgb_delta,lgb,delta,chem_novel,d_ctxb,0.2037696742071836
lgb_delta,lgb,delta,chem_novel,d_strain,0.015047717518045694
lgb_delta,lgb,delta,chem_novel,d_drug,0.0
lgb_delta,lgb,delta,chem_novel,d_drug_time,0.0
lgb_delta,lgb,delta,chem_novel,d_drug_strain,0.0
lgb_delta,lgb,delta,chem_novel,d_batch,0.018154233953875287
lgb_delta,lgb,delta,chem_novel,d_batch_time,0.007377348782522405
lgb_delta,lgb,delta,chem_novel,d_plate,0.06352587407511812
lgb_delta,lgb,delta,chem_novel,d_instr,0.005316778366368651
lgb_delta,lgb,delta,chem_novel,d_time,0.0011711539570695118
lgb_delta,lgb,delta,chem_novel,d_mtt,0.0026030290078777802
lgb_delta,lgb,delta,chem_novel,y_ctxb,0.006320681723365843
lgb_delta,lgb,delta,chem_novel,y_mtt,0.003557606643077579
lgb_delta,lgb,delta,chem_novel,prot_mean_y,0.010847132151328551
lgb_delta,lgb,delta,chem_novel,prot_sd_y,0.002276589875778754
lgb_delta,lgb,delta,chem_novel,prot_detect,0.012508274202241067
lgb_delta,lgb,delta,chem_novel,prot_mean_d,0.0033930712851808088
lgb_delta,lgb,delta,chem_novel,prot_sd_d,0.007003661914102461
lgb_delta,lgb,delta,chem_novel,prot_mean_absd,0.0038719591037166315
lgb_delta,lgb,delta,chem_novel,pert_time_num,0.0076579413405757
lgb_delta,lgb,delta,chem_novel,temperature_num,0.002145183175663608
lgb_delta,lgb,delta,chem_novel,well_row,0.0346290970793529
lgb_delta,lgb,delta,chem_novel,well_col,0.0637993268768015
