model,split,n_samples,abs_pcc_per_sample_mean,fc_pcc_per_sample_mean,fc_pcc_pooled,resid_ctx_pcc_per_sample_mean,resid_drug_pcc_per_sample_mean,resid_ctx_batch_aware_pcc_per_sample_mean,batch_attributable_gap
per_context_mean_batch,val_strain_only,1333,0.9810558287798726,0.2776685451993657,0.25867221655763356,0.294778313594695,0.30039941821131116,0.30887658172008065,-0.014098268125385671
per_context_mean_batch,val_both,269,0.983390858612796,0.245472330234014,0.24913441136121284,0.2807811012469624,0.2672066007820275,0.29489420924915166,-0.01411310800218929
per_context_mean_batch,val_time,139,0.9896736385827055,0.4777816469839275,0.40243547505828425,0.32345873401137853,0.44138703902636206,-1.9544457834923986e-05,0.32347827846921345
control_anchor,val_chem_only,1065,0.9917526045324276,,,0.23665709715070662,0.12025118564466072,0.22008236292209135,0.016574734228615273
control_anchor,val_strain_only,1333,0.9898008266260314,,,0.17857136698894546,0.10821984362401137,0.27528157540253306,-0.0967102084135876
control_anchor,val_both,269,0.9914551327230743,,,0.22056879108287847,0.11367433328567561,0.3178789242530882,-0.09731013317020976
control_anchor,val_time,139,0.9873681063772471,,,0.10772793724166874,0.06353354966511875,0.1706903934514478,-0.06296245620977906
blend_ens_delta_benchmark_w0.5,val_chem_only,1065,0.9906797838841238,0.44852471926788934,0.41990893495028436,0.3855612827777801,0.4285532550960279,-0.0223415684829086,0.4079028512606887
blend_ens_delta_benchmark_w0.5,val_strain_only,1333,0.9878024405781711,0.3439963134677547,0.34392771188704424,0.36322855036649687,0.33672079942879574,0.3835081928219753,-0.02027964245547842
blend_ens_delta_benchmark_w0.5,val_both,269,0.9879715443571597,0.26917365362347523,0.26900973071474726,0.2863797355140573,0.2684549696106445,0.2832963220735101,0.0030834134405472446
blend_ens_delta_benchmark_w0.5,val_time,139,0.9904752651452536,0.5401324961553483,0.6460541739551365,0.4423806404149381,0.5027679621215496,0.3650936840751774,0.07728695633976068
