regime,candidate,n_iterations,n_dev_samples,fit_seconds,sel_objective,m2_pcc_per_sample,resid_pcc_vs_mu_ctx,resid_pcc_vs_mu_drug,m2_pcc_pooled,param_num_leaves,param_learning_rate,param_min_data_in_leaf,param_feature_fraction,param_bagging_fraction,param_bagging_freq,param_lambda_l2,param_objective,param_max_depth,param_alpha
chem_novel,huber,350,400,10.9,0.422371,0.442201,0.397584,0.435185,0.381467,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
chem_novel,huber,500,400,10.9,0.423782,0.443604,0.399005,0.436367,0.38155,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
chem_novel,deep_huber,50,400,15.2,0.408388,0.430875,0.380279,0.424557,0.375665,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
chem_novel,deep_huber,100,400,15.2,0.418466,0.437487,0.39469,0.431285,0.376917,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
chem_novel,deep_huber,200,400,15.2,0.422771,0.441165,0.39978,0.43465,0.378869,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
chem_novel,deep_huber,350,400,15.2,0.422967,0.441458,0.399852,0.434546,0.377374,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
chem_novel,deep_huber,500,400,15.2,0.422682,0.441397,0.399287,0.434309,0.376275,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
strain_novel,base,50,400,10.6,0.129731,0.15404,0.249892,0.099343,0.348457,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
strain_novel,base,100,400,10.6,0.141203,0.167093,0.252756,0.108841,0.357113,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
strain_novel,base,200,400,10.6,0.155848,0.180694,0.266366,0.124791,0.364949,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
strain_novel,base,350,400,10.6,0.161787,0.186262,0.271878,0.131193,0.365284,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
strain_novel,base,500,400,10.6,0.165418,0.189491,0.274329,0.135328,0.3665,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
strain_novel,shallow,50,400,8.2,0.12671,0.153105,0.239559,0.093717,0.344739,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
strain_novel,shallow,100,400,8.2,0.139758,0.166997,0.249749,0.105709,0.35585,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
strain_novel,shallow,200,400,8.2,0.151735,0.178115,0.261007,0.118759,0.361993,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
strain_novel,shallow,350,400,8.2,0.15812,0.183948,0.266865,0.125835,0.364849,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
strain_novel,shallow,500,400,8.2,0.16164,0.187049,0.269527,0.12988,0.366162,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
strain_novel,deep,50,400,15.0,0.134934,0.158088,0.254432,0.105993,0.347072,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
strain_novel,deep,100,400,15.0,0.14462,0.16958,0.25534,0.113419,0.354742,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
strain_novel,deep,200,400,15.0,0.158287,0.182577,0.267727,0.127925,0.360126,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
strain_novel,deep,350,400,15.0,0.164738,0.188542,0.272949,0.134983,0.362158,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
strain_novel,deep,500,400,15.0,0.167966,0.191561,0.275003,0.138473,0.363817,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
strain_novel,deep_slow,50,400,16.3,0.141405,0.155497,0.28735,0.123791,0.344696,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
strain_novel,deep_slow,100,400,16.3,0.135403,0.157948,0.253493,0.107222,0.350872,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
strain_novel,deep_slow,200,400,16.3,0.146669,0.171001,0.256962,0.116253,0.359465,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
strain_novel,deep_slow,350,400,16.3,0.157785,0.181582,0.266883,0.12804,0.362816,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
strain_novel,deep_slow,500,400,16.3,0.162833,0.18646,0.270946,0.133299,0.364001,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
strain_novel,strong_l2,50,400,10.7,0.129683,0.154182,0.248297,0.099058,0.347152,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
strain_novel,strong_l2,100,400,10.7,0.140638,0.166746,0.251188,0.108002,0.355583,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
strain_novel,strong_l2,200,400,10.7,0.154199,0.179341,0.264262,0.122772,0.361507,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
strain_novel,strong_l2,350,400,10.7,0.161013,0.185587,0.270353,0.130296,0.363365,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
strain_novel,strong_l2,500,400,10.7,0.16513,0.189542,0.273472,0.134615,0.365191,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
strain_novel,low_ff,50,400,9.4,0.139731,0.160003,0.260865,0.114392,0.364589,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
strain_novel,low_ff,100,400,9.4,0.142319,0.165497,0.248861,0.113347,0.365223,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
strain_novel,low_ff,200,400,9.4,0.154846,0.17803,0.26076,0.125865,0.372486,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
strain_novel,low_ff,350,400,9.4,0.16223,0.184848,0.267977,0.133957,0.375589,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
strain_novel,low_ff,500,400,9.4,0.166183,0.188363,0.270904,0.138458,0.376252,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
strain_novel,huber,50,400,11.0,0.130002,0.151525,0.254393,0.103097,0.355665,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
strain_novel,huber,100,400,11.0,0.136546,0.161335,0.251462,0.10556,0.370272,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
strain_novel,huber,200,400,11.0,0.150981,0.17533,0.264396,0.120544,0.377005,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
strain_novel,huber,350,400,11.0,0.157685,0.18139,0.270097,0.128052,0.376536,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
strain_novel,huber,500,400,11.0,0.161926,0.185424,0.273319,0.132554,0.378376,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
strain_novel,deep_huber,50,400,15.0,0.134838,0.155637,0.258331,0.108839,0.357947,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
strain_novel,deep_huber,100,400,15.0,0.140115,0.164084,0.25414,0.110153,0.371498,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
strain_novel,deep_huber,200,400,15.0,0.154823,0.178536,0.266315,0.125181,0.378144,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
strain_novel,deep_huber,350,400,15.0,0.162014,0.185302,0.272372,0.132903,0.380084,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
strain_novel,deep_huber,500,400,15.0,0.165767,0.188925,0.274691,0.13682,0.381957,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
both_novel,base,50,400,9.6,0.136834,0.131221,0.224039,0.139445,0.139299,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
both_novel,base,100,400,9.6,0.153596,0.148707,0.231288,0.154125,0.141117,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
both_novel,base,200,400,9.6,0.16078,0.156012,0.236615,0.161225,0.147933,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
both_novel,base,350,400,9.6,0.163507,0.158701,0.238797,0.165097,0.144792,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
both_novel,base,500,400,9.6,0.165669,0.16089,0.24046,0.167334,0.14496,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
both_novel,shallow,50,400,7.4,0.137359,0.131925,0.222567,0.139092,0.141909,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
both_novel,shallow,100,400,7.4,0.154306,0.149357,0.233156,0.154639,0.157024,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
both_novel,shallow,200,400,7.4,0.160084,0.155283,0.236688,0.1603,0.162561,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
both_novel,shallow,350,400,7.4,0.162787,0.157875,0.240076,0.164087,0.162653,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
both_novel,shallow,500,400,7.4,0.162808,0.157736,0.241476,0.165294,0.164114,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
both_novel,deep,50,400,13.3,0.139491,0.133753,0.227677,0.143119,0.145871,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
both_novel,deep,100,400,13.3,0.158218,0.153162,0.237383,0.159948,0.155407,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
